,"STU, US","STU, AR","STU, BR","STU, Corn","Production, US","Production, AR","Production, BR",PPI- Commodities, PPI- Farm Products,PPI- Grains,PPI- OilSeeds,PPI- Corn,PPI- Soybeans,"PPI- Industry, Food","PPI- Freight, WareHousing",GDP (Bn USD),Gold,DX,Crude,USD?BRL,Price_High,Price_Low,Price_Average
"PPI- Industry, Food",-0.09529182834847269,0.4942209070399466,0.5694640940608534,-0.3171615916649221,0.8000600144830384,0.6895240908366714,0.9258232385257117,0.9730900798957769,0.9452366887830068,0.7510622153580054,0.8076832940587458,0.732595311248776,0.8011002614564217,1.0,0.9878589242743403,0.9422330425497486,0.943668558482609,-0.034471257915560806,0.39846933593282474,0.619814995607191,0.7918136222914317,0.8184985357547754,0.8055805541793452
"PPI- Freight, WareHousing",-0.03906428736551207,0.4632292867642763,0.5987746167433976,-0.2984693266888924,0.8260005749066028,0.6663235312209007,0.9528888544422981,0.9740608912643935,0.917721402282565,0.7149387768494299,0.757836797064095,0.6934131033957686,0.7509497117941245,0.9878589242743403,1.0,0.97644195049561,0.9271969447925119,0.00370699370470237,0.3402205087477876,0.6845083920571405,0.7462187023167642,0.7742340639933403,0.7609467183238663
GDP (Bn USD),0.07041799024956151,0.23849840658135932,0.4512489610638333,-0.005611479751326667,0.8530016403376304,0.4873262703349007,0.9806669990622983,0.9131172480402643,0.8056145232084946,0.5274827385112894,0.577375014578022,0.5067934844090303,0.5691282308315115,0.9422330425497486,0.97644195049561,1.0,0.8692974116639278,0.422703621119916,0.17238317931232403,0.7852382140690763,0.5610953761778114,0.6000483784139564,0.5807393966887179
Gold,-0.13123722692697107,0.42430570994569744,0.4848191346205592,-0.36220715939330783,0.7265501002784875,0.7043573397275634,0.8710994462117383,0.9180903499497879,0.8895186504274547,0.7808580293726273,0.8170761962195748,0.7739815548932234,0.8102967990639074,0.943668558482609,0.9271969447925119,0.8692974116639278,1.0,-0.1368001734824873,0.43791455538166774,0.555073180325115,0.8002196195913415,0.8265803254389237,0.8154443601015982
DX,0.16875069901893924,-0.4232304010891226,-0.34027032684856534,0.4467510598833595,0.2161112426714267,-0.46613624321344116,0.14730735504487238,-0.11578416156473463,-0.1655371311715796,-0.3426612156639382,-0.3785516749324497,-0.3289039666707054,-0.38671703272668695,-0.034471257915560806,0.00370699370470237,0.422703621119916,-0.1368001734824873,1.0,-0.39675392555088457,0.6455564581233134,-0.4095242760351442,-0.38115364306382854,-0.39882392930994515
Crude,-0.3039497669830051,0.06325305388185777,0.047877673158537463,-0.4888109089467202,-0.03830022341921493,0.23565810813499202,0.0658910473441643,0.5462982747654405,0.6191411375181359,0.7585639008558581,0.7125002392048881,0.7388164698654944,0.7103717373932409,0.39846933593282474,0.3402205087477876,0.17238317931232403,0.43791455538166774,-0.39675392555088457,1.0,-0.2549681355412068,0.720997295094444,0.7203927499537452,0.7253080436706353
USD?BRL,0.03518340354078748,-0.04136476776693827,0.23679022177341535,0.11747578872615805,0.721861583114991,0.12376063237930693,0.8466057464496004,0.548313023736991,0.4367002333705372,0.1819763520167259,0.21654019470252456,0.17057253857912147,0.2094201935223224,0.619814995607191,0.6845083920571405,0.7852382140690763,0.555073180325115,0.6455564581233134,-0.2549681355412068,1.0,0.19217714422699889,0.22185025100107347,0.20542303624169095
Price_High,-0.4421896121836748,0.35179113440642246,0.37392984477416374,-0.5652031553011241,0.41200756861183174,0.6112588881195057,0.5906502226531566,0.8257930520074365,0.8956244466174241,0.9399253639665975,0.9923949084850354,0.9274930743446415,0.9922775465232384,0.7918136222914317,0.7462187023167642,0.5610953761778114,0.8002196195913415,-0.4095242760351442,0.720997295094444,0.19217714422699889,1.0,0.9922493565442472,0.9976157513206236
Price_Low,-0.41803584565760177,0.36698745085716594,0.38016518309935093,-0.5555449052241784,0.4474266905237743,0.6239395124218656,0.6217461415711792,0.846712868404065,0.9133486791337833,0.9382421960213254,0.9903482109661546,0.9263031958945948,0.9899202572310892,0.8184985357547754,0.7742340639933403,0.6000483784139564,0.8265803254389237,-0.38115364306382854,0.7203927499537452,0.22185025100107347,0.9922493565442472,1.0,0.9978559225193583
Price_Average,-0.43128644892366647,0.35913728844477605,0.378192980136047,-0.5642592265718815,0.42888390066351056,0.619452203405513,0.6067062864292592,0.8374217436050168,0.9055955036242164,0.942189266777362,0.99298598996006,0.9298023582973115,0.9927053699064093,0.8055805541793452,0.7609467183238663,0.5807393966887179,0.8154443601015982,-0.39882392930994515,0.7253080436706353,0.20542303624169095,0.9976157513206236,0.9978559225193583,1.0
