,"STU, US","STU, AR","STU, BR","STU, Corn","Production, US","Production, AR","Production, BR",PPI- Commodities, PPI- Farm Products,PPI- Grains,PPI- OilSeeds,PPI- Corn,PPI- Soybeans,"PPI- Industry, Food","PPI- Freight, WareHousing",GDP (Bn USD),Gold,DX,Crude,USD?BRL,Price_High,Price_Low,Price_Average
PPI- OilSeeds,-0.4504772400488966,0.3516357854590377,0.36798471816941186,-0.5579510725569743,0.4237070043015991,0.6037359100621873,0.6084638865437659,0.8335784908099828,0.907789621477161,0.9414847488636818,1.0,0.9317143035974169,0.9995456075343414,0.8076832940587458,0.7578367970640949,0.5773750145780225,0.8170761962195745,-0.37855167493244857,0.7125002392048889,0.21654019470252459,0.9923949084850348,0.9903482109661556,0.9929859899600603
PPI- Corn,-0.40171277680035145,0.1910438425442158,0.29106821103023744,-0.657593270840223,0.3487096390206484,0.5056020579849041,0.5266111513606547,0.7844416348250385,0.8666973796173314,0.9946847650745774,0.9317143035974169,1.0,0.9271390545316391,0.7325953112487765,0.6934131033957696,0.5067934844090306,0.7739815548932248,-0.3289039666707036,0.7388164698654951,0.17057253857912197,0.9274930743446421,0.9263031958945963,0.9298023582973114
PPI- Soybeans,-0.4533913599585651,0.35430982617870566,0.36726916475599025,-0.5574466742732371,0.4176588235979426,0.6021586175803877,0.6033474916279692,0.8270886279968681,0.9030942063952179,0.9368502211735479,0.9995456075343414,0.9271390545316391,1.0,0.8011002614564209,0.7509497117941242,0.5691282308315118,0.8102967990639061,-0.3867170327266848,0.7103717373932402,0.20942019352232238,0.9922775465232385,0.9899202572310886,0.9927053699064092
"PPI- Industry, Food",-0.0952918283484721,0.49422090703994803,0.569464094060854,-0.3171615916649225,0.800060014483039,0.689524090836671,0.9258232385257114,0.9730900798957766,0.9452366887830073,0.7510622153580072,0.8076832940587458,0.7325953112487765,0.8011002614564209,1.0,0.98785892427434,0.9422330425497492,0.9436685584826093,-0.03447125791555852,0.39846933593282413,0.6198149956071909,0.7918136222914322,0.8184985357547755,0.8055805541793448
"PPI- Freight, WareHousing",-0.03906428736551156,0.46322928676427727,0.5987746167433978,-0.29846932668889237,0.8260005749066038,0.6663235312208997,0.9528888544422982,0.9740608912643932,0.9177214022825653,0.7149387768494304,0.7578367970640949,0.6934131033957696,0.7509497117941242,0.98785892427434,1.0,0.9764419504956107,0.9271969447925118,0.003706993704706054,0.34022050874778814,0.6845083920571399,0.7462187023167643,0.7742340639933404,0.7609467183238662
GDP (Bn USD),0.07041799024956094,0.23849840658135754,0.4512489610638338,-0.005611479751327339,0.8530016403376305,0.4873262703349005,0.9806669990622979,0.9131172480402643,0.8056145232084941,0.5274827385112887,0.5773750145780225,0.5067934844090306,0.5691282308315118,0.9422330425497492,0.9764419504956107,1.0,0.8692974116639288,0.422703621119918,0.17238317931232428,0.7852382140690759,0.5610953761778115,0.6000483784139566,0.5807393966887171
Gold,-0.1312372269269706,0.4243057099456978,0.48481913462055964,-0.3622071593933078,0.7265501002784887,0.7043573397275631,0.8710994462117383,0.9180903499497878,0.8895186504274548,0.7808580293726276,0.8170761962195745,0.7739815548932248,0.8102967990639061,0.9436685584826093,0.9271969447925118,0.8692974116639288,1.0,-0.13680017348248408,0.4379145553816679,0.5550731803251151,0.8002196195913419,0.8265803254389241,0.8154443601015978
DX,0.16875069901893935,-0.4232304010891203,-0.34027032684856334,0.4467510598833591,0.216111242671429,-0.4661362432134389,0.14730735504487608,-0.11578416156473044,-0.16553713117157684,-0.3426612156639361,-0.37855167493244857,-0.3289039666707036,-0.3867170327266848,-0.03447125791555852,0.003706993704706054,0.422703621119918,-0.13680017348248408,1.0,-0.39675392555088435,0.6455564581233133,-0.40952427603514235,-0.3811536430638261,-0.398823929309943
Crude,-0.30394976698300485,0.06325305388185784,0.04787767315853719,-0.48881090894671986,-0.03830022341921492,0.23565810813499308,0.06589104734416482,0.5462982747654404,0.619141137518136,0.7585639008558582,0.7125002392048889,0.7388164698654951,0.7103717373932402,0.39846933593282413,0.34022050874778814,0.17238317931232428,0.4379145553816679,-0.39675392555088435,1.0,-0.2549681355412064,0.7209972950944445,0.7203927499537441,0.7253080436706347
USD?BRL,0.035183403540787334,-0.041364767766940175,0.23679022177341616,0.1174757887261588,0.7218615831149905,0.12376063237930617,0.8466057464495998,0.5483130237369921,0.4367002333705373,0.18197635201672532,0.21654019470252459,0.17057253857912197,0.20942019352232238,0.6198149956071909,0.6845083920571399,0.7852382140690759,0.5550731803251151,0.6455564581233133,-0.2549681355412064,1.0,0.19217714422699872,0.22185025100107414,0.20542303624169042
Price_High,-0.44218961218367453,0.35179113440642296,0.37392984477416374,-0.5652031553011241,0.4120075686118324,0.6112588881195054,0.5906502226531565,0.8257930520074364,0.895624446617424,0.9399253639665989,0.9923949084850348,0.9274930743446421,0.9922775465232385,0.7918136222914322,0.7462187023167643,0.5610953761778115,0.8002196195913419,-0.40952427603514235,0.7209972950944445,0.19217714422699872,1.0,0.9922493565442474,0.9976157513206232
Price_Low,-0.41803584565760127,0.3669874508571662,0.3801651830993509,-0.5555449052241785,0.44742669052377526,0.6239395124218644,0.6217461415711788,0.8467128684040651,0.9133486791337824,0.9382421960213254,0.9903482109661556,0.9263031958945963,0.9899202572310886,0.8184985357547755,0.7742340639933404,0.6000483784139566,0.8265803254389241,-0.3811536430638261,0.7203927499537441,0.22185025100107414,0.9922493565442474,1.0,0.997855922519358
Price_Average,-0.43128644892366663,0.3591372884447757,0.3781929801360469,-0.5642592265718818,0.42888390066351106,0.6194522034055114,0.6067062864292586,0.8374217436050166,0.905595503624216,0.9421892667773629,0.9929859899600603,0.9298023582973114,0.9927053699064092,0.8055805541793448,0.7609467183238662,0.5807393966887171,0.8154443601015978,-0.398823929309943,0.7253080436706347,0.20542303624169042,0.9976157513206232,0.997855922519358,1.0
