Report Date,Report Month,"STU, US","STU, AR","STU, BR","STU, Corn","Production, US","Production, AR","Production, BR"
2004-02-10,2004-02,0.0794,0.411,0.4469,0.1084,65.8,36.5,61.0
2004-03-10,2004-03,0.0789,0.411,0.4414,0.1084,65.8,36.5,59.5
2004-04-08,2004-04,0.0724,0.4025,0.3824,0.1024,65.8,35.0,56.0
2004-05-12,2004-05,0.0724,0.4117,0.3525,0.0881,65.8,34.0,53.5
2004-06-10,2004-06,0.1223,0.5317,0.4791,0.0881,80.69,39.0,66.0
2004-07-12,2004-07,0.1169,0.5462,0.4844,0.1171,80.01,39.0,66.0
2004-08-12,2004-08,0.1077,0.5793,0.5647,0.1313,78.29,39.0,66.0
2004-09-10,2004-09,0.1079,0.6068,0.5679,0.1403,77.18,39.0,66.0
2004-10-12,2004-10,0.2258,0.6158,0.6287,0.1917,84.56,39.0,64.5
2004-11-12,2004-11,0.256,0.6349,0.6451,0.2056,85.74,39.0,64.5
2004-12-10,2004-12,0.256,0.6399,0.6184,0.2078,85.74,39.0,64.5
2005-01-12,2005-01,0.2399,0.6388,0.654,0.221,85.48,39.0,64.5
2005-02-09,2005-02,0.2434,0.6603,0.6924,0.2266,85.48,39.0,63.0
2005-03-10,2005-03,0.2274,0.6239,0.6105,0.2317,85.48,39.0,59.0
2005-04-08,2005-04,0.208,0.6485,0.5519,0.2529,85.48,39.0,54.0
2005-05-12,2005-05,0.197,0.6522,0.5214,0.2913,85.48,39.0,53.0
2005-06-10,2005-06,0.1393,0.6139,0.5895,0.2913,78.79,39.0,62.0
2005-07-12,2005-07,0.1141,0.677,0.5536,0.2569,78.65,39.0,62.0
2005-08-12,2005-08,0.099,0.63,0.5249,0.2205,75.96,39.0,62.0
2005-09-12,2005-09,0.1117,0.5257,0.5012,0.2391,77.74,39.0,60.0
2005-10-12,2005-10,0.1407,0.5434,0.5118,0.2534,80.75,40.5,60.0
2005-11-10,2005-11,0.1863,0.4703,0.49,0.2625,82.82,40.5,58.5
2005-12-09,2005-12,0.2156,0.4703,0.4927,0.2738,82.82,40.5,58.5
2006-01-12,2006-01,0.267,0.4924,0.5472,0.2708,84.0,40.5,58.5
2006-02-09,2006-02,0.2947,0.4924,0.5268,0.2672,84.0,40.5,58.5
2006-03-13,2006-03,0.3001,0.4924,0.5268,0.2617,84.0,40.5,58.5
2006-04-10,2006-04,0.3001,0.475,0.5074,0.2561,84.0,40.5,57.0
2006-05-12,2006-05,0.3001,0.5263,0.5373,0.1202,84.0,40.5,56.5
2006-06-09,2006-06,0.343,0.5124,0.5437,0.1149,83.82,41.3,56.0
2006-07-12,2006-07,0.2937,0.4547,0.5439,0.1123,81.92,41.3,56.0
2006-08-11,2006-08,0.2359,0.4392,0.543,0.1275,79.68,41.3,56.0
2006-09-12,2006-09,0.2755,0.4722,0.5087,0.1263,84.18,41.3,56.0
2006-10-12,2006-10,0.286,0.5023,0.5142,0.1033,86.78,41.3,56.0
2006-11-09,2006-11,0.2904,0.4924,0.5142,0.0975,87.2,41.3,56.0
2006-12-11,2006-12,0.2904,0.5033,0.5079,0.0975,87.2,42.0,56.0
2007-01-12,2007-01,0.2956,0.5046,0.5079,0.0791,86.77,42.5,56.0
2007-02-09,2007-02,0.306,0.5256,0.5079,0.0791,86.77,44.0,56.0
2007-03-09,2007-03,0.3058,0.5021,0.5301,0.0791,86.77,44.0,57.0
2007-04-10,2007-04,0.3157,0.5361,0.5535,0.0935,86.77,45.5,58.8
2007-05-11,2007-05,0.3123,0.5534,0.5695,0.0903,86.77,45.5,58.8
2007-06-11,2007-06,0.1632,0.5364,0.5462,0.0951,74.71,47.0,61.0
2007-07-12,2007-07,0.1247,0.5354,0.5462,0.1432,71.44,47.0,61.0
2007-08-10,2007-08,0.112,0.5506,0.5462,0.1438,71.45,47.0,61.0
2007-09-12,2007-09,0.1082,0.5364,0.5307,0.1589,71.27,47.0,61.0
2007-10-12,2007-10,0.108,0.5165,0.5691,0.194,70.71,47.0,62.0
2007-11-09,2007-11,0.1055,0.5177,0.5327,0.1852,70.61,47.0,62.0
2007-12-11,2007-12,0.0927,0.4893,0.5327,0.1754,70.61,47.0,62.0
2008-01-11,2008-01,0.0877,0.4725,0.5174,0.1369,70.36,47.0,60.5
2008-02-08,2008-02,0.0799,0.4718,0.5174,0.1369,70.36,47.0,60.5
2008-03-11,2008-03,0.07,0.5117,0.5026,0.1369,70.36,47.0,61.0
2008-04-09,2008-04,0.0828,0.5309,0.5299,0.1209,70.36,47.0,61.0
2008-05-09,2008-05,0.075,0.5309,0.5444,0.0715,70.36,47.0,61.0
2008-06-10,2008-06,0.0873,0.5551,0.5359,0.064,84.5,48.0,64.0
2008-07-11,2008-07,0.07,0.5666,0.5237,0.0793,81.65,48.0,64.0
2008-08-12,2008-08,0.0685,0.5645,0.5068,0.1055,80.9,49.5,62.5
2008-09-12,2008-09,0.0692,0.5784,0.5155,0.0956,79.85,50.5,62.5
2008-10-10,2008-10,0.1141,0.6059,0.5394,0.108,81.19,50.5,62.5
2008-11-10,2008-11,0.1075,0.6025,0.5228,0.1057,79.49,50.5,60.0
2008-12-11,2008-12,0.1092,0.6076,0.5361,0.1419,79.49,50.5,59.0
2009-01-12,2009-01,0.1216,0.5963,0.5346,0.1755,80.54,49.5,59.0
2009-02-10,2009-02,0.1157,0.5516,0.5004,0.1755,80.54,43.8,57.0
2009-03-11,2009-03,0.1025,0.5572,0.5004,0.169,80.54,43.0,57.0
2009-04-09,2009-04,0.0914,0.4843,0.4743,0.1644,80.54,39.0,57.0
2009-05-12,2009-05,0.1246,0.5685,0.474,0.1074,86.95,51.0,60.0
2009-06-10,2009-06,0.1138,0.5685,0.4463,0.1033,86.95,51.0,60.0
2009-07-10,2009-07,0.1345,0.5611,0.4388,0.1466,88.72,51.0,60.0
2009-08-12,2009-08,0.114,0.553,0.4301,0.1505,87.07,51.0,60.0
2009-09-11,2009-09,0.1182,0.5362,0.4301,0.151,88.32,51.0,62.0
2009-10-09,2009-10,0.1232,0.6211,0.4466,0.1537,88.45,52.5,62.0
2009-11-10,2009-11,0.1446,0.6211,0.4622,0.1494,90.34,53.0,63.0
2009-12-10,2009-12,0.1365,0.6156,0.468,0.154,90.34,53.0,63.0
2010-01-12,2010-01,0.1299,0.6241,0.507,0.1601,91.47,53.0,65.0
2010-02-09,2010-02,0.1106,0.6605,0.4877,0.1547,91.47,53.0,66.0
2010-03-10,2010-03,0.0999,0.6638,0.4907,0.1619,91.42,53.0,67.0
2011-01-12,2011-01,0.0795,0.4829,0.3957,0.0649,90.61,50.5,67.5
2011-02-09,2011-02,0.0795,0.4804,0.3984,0.0584,90.61,49.5,68.5
2011-03-10,2011-03,0.0795,0.4952,0.4031,0.0584,90.61,49.5,70.0
2011-04-08,2011-04,0.0789,0.5245,0.4376,0.0584,90.61,49.5,72.0
2011-05-11,2011-05,0.0905,0.5357,0.4272,0.0779,89.4,53.0,72.5
2011-06-09,2011-06,0.1075,0.521,0.4314,0.0607,89.4,53.0,72.5
2011-07-12,2011-07,0.0993,0.5498,0.4533,0.075,87.77,53.0,72.5
2011-08-11,2011-08,0.0888,0.5378,0.462,0.0626,83.17,53.0,73.5
2011-09-12,2011-09,0.0943,0.545,0.4855,0.0605,83.97,53.0,73.5
2011-10-12,2011-10,0.0911,0.5661,0.4887,0.078,83.28,53.0,73.5
2011-11-09,2011-11,0.1114,0.5572,0.4887,0.0766,82.89,52.0,75.0
2011-12-09,2011-12,0.1318,0.5572,0.4739,0.0771,82.89,52.0,75.0
2012-01-12,2012-01,0.1586,0.5443,0.4353,0.0769,83.17,50.5,74.0
2012-02-09,2012-02,0.1586,0.5277,0.3968,0.0728,83.17,48.0,72.0
2012-03-09,2012-03,0.1586,0.4926,0.3767,0.0728,83.17,46.5,68.5
2012-04-10,2012-04,0.1433,0.4892,0.368,0.0728,83.17,45.0,66.0
2012-05-10,2012-05,0.0813,0.5134,0.4255,0.1584,87.23,55.0,78.0
2012-06-12,2012-06,0.0789,0.5291,0.413,0.1584,87.23,55.0,78.0
2012-07-11,2012-07,0.075,0.4929,0.387,0.1064,83.01,55.0,78.0
2012-08-10,2012-08,0.0705,0.4999,0.4049,0.0654,73.27,55.0,81.0
2012-09-12,2012-09,0.0712,0.5049,0.4074,0.0733,71.69,55.0,81.0
2012-10-11,2012-10,0.0784,0.5351,0.4372,0.0619,77.84,55.0,81.0
2012-11-09,2012-11,0.0833,0.5366,0.4294,0.0645,80.86,55.0,81.0
2012-12-11,2012-12,0.0769,0.5558,0.417,0.0645,80.86,55.0,81.0
2013-01-11,2013-01,0.0782,0.5332,0.4294,0.0584,82.06,54.0,82.5
2013-02-08,2013-02,0.072,0.5456,0.4529,0.0612,82.06,53.0,83.5
2013-03-08,2013-03,0.072,0.5591,0.4529,0.0606,82.06,51.5,83.5
2013-04-10,2013-04,0.072,0.6079,0.5486,0.0733,82.06,51.5,83.5
2013-05-10,2013-05,0.1462,0.6545,0.6179,0.1725,92.26,54.5,85.0
2013-06-12,2013-06,0.1462,0.6998,0.5422,0.1688,92.26,54.5,85.0
2013-07-11,2013-07,0.1628,0.662,0.5422,0.1704,93.08,53.5,85.0
2013-08-12,2013-08,0.1229,0.6998,0.5289,0.1605,88.6,53.5,85.0
2013-09-12,2013-09,0.0847,0.707,0.5471,0.162,85.71,53.5,88.0
2013-11-08,2013-11,0.0949,0.6964,0.4928,0.1634,88.66,53.5,88.0
2013-12-10,2013-12,0.0831,0.7002,0.4928,0.1545,88.66,54.5,88.0
2014-01-10,2014-01,0.0831,0.73,0.5126,0.1394,89.51,54.5,89.0
2014-02-10,2014-02,0.0835,0.7723,0.5126,0.1266,89.51,54.0,90.0
2014-03-10,2014-03,0.0811,0.7723,0.4755,0.1245,89.51,54.0,88.5
2014-04-09,2014-04,0.0758,0.772,0.4746,0.1138,89.51,54.0,87.5
2014-05-09,2014-05,0.1808,0.7437,0.6125,0.1477,98.93,54.0,91.0
2014-06-11,2014-06,0.178,0.7556,0.6062,0.1477,98.93,54.0,91.0
2014-07-11,2014-07,0.2221,0.7675,0.6,0.1548,103.42,54.0,91.0
2014-08-12,2014-08,0.2306,0.7692,0.5863,0.1544,103.85,54.0,91.0
2014-09-11,2014-09,0.2522,0.7931,0.5983,0.1688,106.5,55.0,94.0
2014-10-10,2014-10,0.2392,0.849,0.5877,0.1748,106.87,55.0,94.0
2014-11-10,2014-11,0.2375,0.842,0.5877,0.1686,107.73,55.0,94.0
2014-12-10,2014-12,0.2164,0.8469,0.5983,0.1676,107.73,55.0,94.0
2015-01-12,2015-01,0.2163,0.8469,0.6339,0.1585,108.01,55.0,95.5
2015-02-10,2015-02,0.2015,0.8212,0.6093,0.1536,108.01,56.0,94.5
2015-03-10,2015-03,0.2015,0.8212,0.6032,0.1494,108.01,56.0,94.5
2015-04-09,2015-04,0.1914,0.8448,0.6032,0.1543,108.01,57.0,94.5
2015-05-12,2015-05,0.2559,0.6901,0.7429,0.1472,104.78,57.0,97.0
2015-06-10,2015-06,0.2425,0.7111,0.6487,0.1493,104.78,57.0,97.0
2015-07-10,2015-07,0.216,0.7721,0.5984,0.1348,105.73,57.0,97.0
2015-08-12,2015-08,0.2357,0.7318,0.4279,0.1437,106.59,57.0,97.0
2015-09-11,2015-09,0.2252,0.7174,0.4244,0.1338,107.1,57.0,97.0
2015-10-09,2015-10,0.2114,0.706,0.4615,0.1312,105.81,57.0,100.0
2015-11-10,2015-11,0.2297,0.644,0.4313,0.1484,108.35,57.0,100.0
2015-12-09,2015-12,0.2297,0.6453,0.4422,0.1502,108.35,57.0,100.0
2016-01-12,2016-01,0.2175,0.6046,0.4491,0.1518,106.95,57.0,100.0
2016-02-09,2016-02,0.2235,0.6137,0.4491,0.1545,106.95,58.5,100.0
2016-03-09,2016-03,0.2298,0.5747,0.4258,0.1545,106.93,58.5,100.0
2016-04-12,2016-04,0.2225,0.5854,0.4023,0.1568,106.93,59.0,100.0
2016-05-10,2016-05,0.1493,0.5015,0.3782,0.1762,103.42,57.0,103.0
2016-06-10,2016-06,0.1271,0.5061,0.3608,0.1643,103.42,57.0,103.0
2016-07-12,2016-07,0.1416,0.5061,0.3544,0.1712,105.6,57.0,103.0
2016-08-12,2016-08,0.1596,0.5707,0.3693,0.1955,110.5,57.0,103.0
2016-09-12,2016-09,0.1761,0.5861,0.3807,0.1938,114.33,57.0,101.0
2016-10-12,2016-10,0.1901,0.6215,0.419,0.1887,116.18,57.0,102.0
2016-11-09,2016-11,0.2336,0.639,0.419,0.1941,118.69,57.0,102.0
2016-12-09,2016-12,0.2336,0.6632,0.419,0.1941,118.69,57.0,102.0
2017-01-12,2017-01,0.2042,0.647,0.4395,0.1905,117.21,57.0,104.0
2017-02-09,2017-02,0.2042,0.597,0.4395,0.1872,117.21,55.5,104.0
2017-03-09,2017-03,0.2103,0.597,0.4664,0.1872,117.21,55.5,108.0
2017-04-11,2017-04,0.2164,0.6111,0.5017,0.1872,117.21,56.0,111.0
2017-05-10,2017-05,0.2305,0.617,0.4683,0.1698,115.8,57.0,107.0
2017-06-09,2017-06,0.2375,0.649,0.5044,0.1698,115.8,57.0,107.0
2017-07-12,2017-07,0.2208,0.662,0.5103,0.1864,115.94,57.0,107.0
2017-08-10,2017-08,0.229,0.744,0.5256,0.1826,119.23,57.0,107.0
2017-09-12,2017-09,0.2288,0.7511,0.4923,0.1883,120.59,57.0,107.0
2017-10-12,2017-10,0.2074,0.7525,0.4805,0.1882,120.58,57.0,107.0
2017-11-09,2017-11,0.2047,0.7594,0.4871,0.1989,120.44,57.0,108.0
2017-12-12,2017-12,0.214,0.7517,0.4783,0.1941,120.44,57.0,108.0
2018-01-12,2018-01,0.2251,0.7314,0.4893,0.1975,119.52,56.0,110.0
2018-02-08,2018-02,0.2537,0.7228,0.4909,0.1875,119.52,54.0,112.0
2018-03-08,2018-03,0.2644,0.6552,0.466,0.1689,119.52,47.0,113.0
2018-04-10,2018-04,0.2616,0.6233,0.4531,0.174,119.52,40.0,115.0
2018-05-10,2018-05,0.1947,0.6067,0.4533,0.1347,116.48,56.0,117.0
2018-06-12,2018-06,0.1803,0.5938,0.4917,0.126,116.48,56.0,118.0
2018-07-12,2018-07,0.2658,0.6809,0.5326,0.1239,117.3,57.0,120.5
2018-08-10,2018-08,0.3573,0.7116,0.5143,0.1333,124.81,57.0,120.5
2018-09-12,2018-09,0.3828,0.7506,0.4903,0.1396,127.73,57.0,120.5
2018-10-11,2018-10,0.401,0.7569,0.4946,0.143,127.63,57.0,120.5
2018-11-08,2018-11,0.4328,0.7934,0.462,0.1375,125.18,55.5,120.5
2018-12-11,2018-12,0.4328,0.8619,0.4744,0.1416,125.18,55.5,122.0
2019-02-08,2019-02,0.4103,0.5982,0.5378,0.1398,123.66,55.0,117.0
2019-03-08,2019-03,0.4041,0.6047,0.5267,0.1481,123.66,55.0,116.5
2019-04-09,2019-04,0.4017,0.5661,0.5645,0.1659,123.66,55.0,117.0
2019-05-10,2019-05,0.4323,0.5494,0.5957,0.2004,112.95,53.0,123.0
2019-06-11,2019-06,0.4657,0.5216,0.5957,0.1385,112.95,53.0,123.0
2019-07-11,2019-07,0.3541,0.5024,0.5903,0.1661,104.64,53.0,123.0
2019-08-12,2019-08,0.3368,0.5216,0.5882,0.1805,100.16,53.0,123.0
2019-09-12,2019-09,0.2856,0.5005,0.6108,0.1816,98.87,53.0,123.0
2019-10-10,2019-10,0.2046,0.5269,0.6231,0.1592,96.62,53.0,123.0
2019-11-08,2019-11,0.2126,0.5067,0.6455,0.1584,96.62,53.0,123.0
2019-12-10,2019-12,0.2126,0.5008,0.6536,0.1584,96.62,53.0,123.0
2020-01-10,2020-01,0.2126,0.5008,0.6741,0.1539,96.84,53.0,123.0
2020-02-11,2020-02,0.1901,0.5008,0.6933,0.1533,96.84,53.0,125.0
2020-03-10,2020-03,0.1903,0.5501,0.7162,0.1533,96.84,54.0,126.0
2020-04-09,2020-04,0.2156,0.5727,0.6339,0.1724,96.84,52.0,124.5
2020-05-12,2020-05,0.1789,0.5458,0.5505,0.2623,112.26,53.5,131.0
2020-06-11,2020-06,0.1734,0.5179,0.5316,0.2627,112.26,53.5,131.0
2020-07-10,2020-07,0.1851,0.5259,0.4884,0.2123,112.54,53.5,131.0
2020-08-12,2020-08,0.2627,0.508,0.4021,0.2196,120.42,53.5,131.0
2020-09-11,2020-09,0.1985,0.5528,0.4087,0.2026,117.38,53.5,133.0
2020-10-09,2020-10,0.1253,0.563,0.4279,0.1769,116.15,53.5,133.0
2020-11-10,2020-11,0.0819,0.589,0.4283,0.1398,113.5,51.0,133.0
2020-12-10,2020-12,0.0749,0.5974,0.4304,0.1398,113.5,50.0,133.0
2021-01-12,2021-01,0.06,0.5541,0.4304,0.1291,112.55,48.0,133.0
2021-02-09,2021-02,0.0514,0.5628,0.4231,0.1249,112.55,48.0,133.0
2021-03-09,2021-03,0.0514,0.5169,0.4273,0.1249,112.55,47.5,134.0
2021-04-09,2021-04,0.052,0.5105,0.4431,0.1117,112.55,47.5,136.0
2021-05-12,2021-05,0.0597,0.4784,0.4636,0.1224,119.88,52.0,144.0
2021-06-10,2021-06,0.0661,0.4784,0.4834,0.1102,119.88,52.0,144.0
2021-07-12,2021-07,0.0661,0.5065,0.549,0.116,119.88,52.0,144.0
2021-08-12,2021-08,0.0666,0.5025,0.5442,0.1014,118.08,52.0,144.0
2021-09-10,2021-09,0.0805,0.4886,0.5541,0.1143,119.04,52.0,144.0
2021-10-12,2021-10,0.1386,0.5202,0.5611,0.1221,121.06,51.0,144.0
2021-11-09,2021-11,0.1474,0.4982,0.5611,0.1211,120.43,49.5,144.0
2021-12-09,2021-12,0.1474,0.4982,0.5611,0.1211,120.43,49.5,144.0
2022-01-12,2022-01,0.1516,0.4652,0.4724,0.1241,120.71,46.5,139.0
2022-02-09,2022-02,0.1393,0.4706,0.4511,0.1241,120.71,45.0,134.0
2022-03-09,2022-03,0.1224,0.4554,0.4294,0.1158,120.71,43.5,127.0
2022-04-08,2022-04,0.1114,0.4406,0.4279,0.1158,120.71,43.5,125.0
2022-05-12,2022-05,0.1301,0.4576,0.5856,0.1118,126.28,51.0,149.0
2022-06-10,2022-06,0.1175,0.487,0.5876,0.115,126.28,51.0,149.0
2022-07-12,2022-07,0.0972,0.5171,0.5745,0.1208,122.61,51.0,149.0
2022-08-12,2022-08,0.1032,0.5326,0.5571,0.1143,123.3,51.0,149.0
2022-09-12,2022-09,0.0851,0.5264,0.5452,0.1015,119.16,51.0,149.0
2022-10-12,2022-10,0.0848,0.5068,0.5682,0.0977,117.38,51.0,152.0
2022-11-09,2022-11,0.0929,0.5106,0.5644,0.0983,118.27,49.5,152.0
2022-12-09,2022-12,0.0929,0.5,0.5729,0.1045,118.27,49.5,152.0
2023-01-12,2023-01,0.0889,0.5182,0.5964,0.1036,116.38,45.5,153.0
2023-02-08,2023-02,0.0958,0.5028,0.5718,0.1058,116.38,41.0,153.0
2023-03-08,2023-03,0.0898,0.4835,0.5592,0.1121,116.38,33.0,153.0
2023-04-11,2023-04,0.0898,0.4801,0.5756,0.1122,116.38,27.0,154.0
2023-05-12,2023-05,0.1374,0.5567,0.6759,0.1794,122.74,48.0,163.0
2023-06-09,2023-06,0.1436,0.5609,0.6834,0.1822,122.74,48.0,163.0
2023-07-12,2023-07,0.1236,0.5518,0.675,0.1826,117.03,48.0,163.0
2023-08-11,2023-08,0.101,0.5553,0.6734,0.1785,114.45,48.0,163.0
2023-09-12,2023-09,0.0911,0.5976,0.6482,0.1799,112.84,48.0,163.0
2023-10-12,2023-10,0.0905,0.5952,0.6315,0.1714,111.7,48.0,163.0
2023-11-09,2023-11,0.1011,0.5883,0.6648,0.174,112.39,48.0,163.0
2023-12-08,2023-12,0.1011,0.5883,0.6298,0.172,112.39,48.0,161.0
2024-01-12,2024-01,0.1155,0.6073,0.6226,0.1734,113.34,50.0,157.0
2024-02-08,2024-02,0.1299,0.6073,0.6313,0.1744,113.34,50.0,156.0
2024-03-08,2024-03,0.1299,0.6073,0.5824,0.1744,113.34,50.0,155.0
2024-04-11,2024-04,0.141,0.6073,0.5824,0.1697,113.34,50.0,155.0
2024-05-10,2024-05,0.1755,0.6208,0.6449,0.1667,121.11,51.0,169.0
2024-06-12,2024-06,0.1794,0.6208,0.6303,0.1667,121.11,51.0,169.0
2024-07-12,2024-07,0.1718,0.5935,0.6157,0.1654,120.7,51.0,169.0
